question,option1,option2,option3,option4,year,level,shift,answer,topic,subtopic
"If the radius of the circumcircle of an equilateral triangle is 8 cm, then the measure of radius of its incircle is:",16cm,4cm,12cm,8 cm,2019,E,13th June Shift 3,B,Geometry,"Circles,Chords & Tangents"
$$9\frac{3}{4} \div \left[2\frac{1}{6} \div \left\{4\frac{1}{3} - \left(2\frac{1}{2} +\frac{3}{4} \right)\right\}\right]$$ is equal to:,$$\frac{15}{4}$$,$$\frac{39}{8}$$,4,3,2019,E,13th June Shift 3,B,Algebra,Identities
"In $$\triangle$$ABC, P is a point on BC such that BP : PC = 4 : 11. If Q is the midpoint of BP, then ar($$\triangle$$ABQ) : ar($$\triangle$$ABC) is equal to:",02:11,02:15,03:13,02:13,2019,E,13th June Shift 2,B,Geometry,Congruence and Similarity of Triangles
"If $$\sqrt{x} + \frac{1}{\sqrt{x}} = \sqrt{6},  then  x^2 + \frac{1}{x^2}$$ is equal to:",18,14,16,12,2019,E,13th June Shift 2,B,Algebra,Identities
"Two articles are sold for ₹975 each. On one, the seller gains 30% and on the other, he loses 25%. What is the overall gain or loss percentage, correct to one decimal place?",4.9% loss,5.3% gain,4.9% gain,5.1% loss,2019,M,12th June Shift 3,A,Arithmetic,Profit & Loss
"In a circle with centre O, an are ABC subtends an angle of $$140^\circ$$ at the centre of the circle. The chord AB is produced to point P. Then $$\angle$$CBP is equal to:",$$70^\circ$$,$$40^\circ$$,$$50^\circ$$,$$80^\circ$$,2019,M,12th June Shift 3,A,Geometry,"Circles,Chords & Tangents"
A sphere of radius 4 cm is melted and recast into smaller spheres of radii 2 cm each. How many such spheres can be made?,8,32,4,16,2019,E,12th June Shift 3,A,Mensuration,Solid Figures
$$\sec^2 29^\circ - \cot^2 61^\circ + \sin^2 60^\circ + cosec^2 30^\circ$$ is equal to:,$$\frac{23}{4}$$,$$\frac{11}{4}$$,$$\frac{19}{4}$$,$$\frac{15}{4}$$,2019,E,12th June Shift 3,A,Trigonometry,Trigonometric Ratios and Identities
"If a - b = 5 and ab = 2, then $$a^3 - b^3$$ is equal to:",155,125,145,95,2019,M,12th June Shift 3,A,Algebra,Identities
The difference between the compound interest and simple interest on ₹x at 7% per annum for 2 years is ₹24.50. What is the value of x?,"5,000","4,800","6,000","5,400",2019,E,12th June Shift 3,A,Arithmetic,SI & CI
"Two articles are sold for ₹ 4880, on one, the seller gained 22% and on the other, he lost 20%. What is his overall gain or loss percentage, nearest to one decimal place?",3.4% loss,3.4% gain,3.6% gain,3.6% loss,2019,M,12th June Shift 2,A,Arithmetic,Profit & Loss
"In a class of 60 students, 40% are girls. The average weight of the whole class is 59.2 kg and the average weight of the girls is 55 kg. What is the average weight of the boys?",62 kg,61 kg,60 kg,63 kg,2019,E,12th June Shift 2,A,Arithmetic,Average
"In a circle of radius 13 cm, a chord is at a distance of 5cm from its center. What is the length of the chord?",24 cm,18 cm,12 cm,20 cm,2019,E,12th June Shift 2,A,Geometry,"Circles,Chords & Tangents"
An article is sold for ₹ 612 after successive discounts of 25% and 15%. What is the marked price of the article?,₹960,₹940,₹1000,₹980,2019,M,12th June Shift 2,A,Arithmetic,Discount
"If $$cosec 3\theta = \sec(20^\circ + 2\theta),  then  \theta$$ is equal to:",$$14^\circ$$,$$20^\circ$$,$$30^\circ$$,$$15^\circ$$,2019,E,12th June Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
The value of $$\sin^2 20^\circ + \sin^2 70^\circ - \tan^2 45^\circ + \sec 60^\circ$$ is equal to:,2,1,2.5,3,2019,M,12th June Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
The difference between compound interest and simple interest on ₹ x at 8% per annum for 2 years is ₹ 48. What is the value of x?,7500,7400,8000,7800,2019,E,12th June Shift 2,A,Arithmetic,SI & CI
"Two articles are sold for ₹ 4,956 each. On one,the seller gains 18% and on the other he loses 16%. What is his overall gain or loss percent to nearest one decimal place??",1.9% loss,1.9% gain,2.1% gain,2.1% loss,2019,E,12th June Shift 1,A,Arithmetic,Profit & Loss
"In $$\triangle$$ABC,P is a point on BC such that BP : PC = 2 : 3 and Q is the mid point of AP. Then ar($$\triangle$$ABQ): ar($$\triangle$$ABC)is equal to:",01:05,01:04,02:03,02:05,2019,E,12th June Shift 1,A,Geometry,Congruence and Similarity of Triangles
"If $$\tan 4\theta = \cot(40^\circ - 2\theta), then  \theta$$ is equal to:",$$25^\circ$$,$$30^\circ$$,$$20^\circ$$,$$35^\circ$$,2019,E,12th June Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
"A is 50% more efficient than B and C is 40% less efficient than B. Working together, they can complete a task in 20 days. In how many days will C alone complete 30% of that task ?",31,29,33,35,2019,E,12th June Shift 1,A,Arithmetic,Time & Work
The value of: $$\frac{\sin 44^\circ}{\cos 46^\circ} + \sin^2 60^\circ - \cos^2 45^\circ + \sec 60^\circ$$ is equal to:,$$\frac{13}{4}$$,$$\frac{11}{3}$$,$$\frac{11}{4}$$,$$\frac{7}{4}$$,2019,M,12th June Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
The difference between the compound interest and simple interest on ₹x at 12% per annum for 2 years is ₹43.20. What is the value of x?,"3,000","2,500","2,800","2,400",2019,M,12th June Shift 1,A,Arithmetic,SI & CI
"In a class of 60 students, 40% are girls. The average weight of the boys is 62kg and that of the girls is 55kg. What is the average weight of the whole class?",59.2kg,58.6kg,58.8kg,59kg,2019,E,12th June Shift 1,A,Arithmetic,Average
"An article is sold for ₹612 after successive discounts of 25% and x%. If the marked price of the article is ₹960, what is the value of x?",10,15,12,14,2019,M,12th June Shift 3,B,Arithmetic,Discount
"If a + b + c = 7 and ab + bc + ca = 1, then $$a^3 + b^3 + c^3 - 3abc$$ is equal to:",412,322,325,422,2019,E,12th June Shift 3,B,Algebra,Identities
"In a circle of radius 13 cm, a chord is at a distance of 12 cm from the centre of the circle. What is the length of the chord?",5 cm,10 cm,7 cm,9 cm,2019,M,12th June Shift 3,B,Geometry,"Circles,Chords & Tangents"
The value of: $$108 \div 36 \times 4 + 2.5 \times 4 \div 0.5 - 10$$,20,22,16,18,2019,E,12th June Shift 3,B,Arithmetic,Simplification
"$$\triangle$$ABC $$\sim$$ $$\triangle$$EDF and ar($$\triangle$$ABC) : ar($$\triangle$$DEF) = 4 : 9. If AB = 6 cm, BC = 8 cm and AC = 10 cm,then DF is equal to:",9 cm,12 cm,15 cm,18 cm,2019,E,12th June Shift 3,B,Geometry,Congruence and Similarity of Triangles
For what value of x is the seven digit number 46393x8 divisible by 11 ?,3,2,7,5,2019,E,11th June Shift 3,A,Arithmetic,Divisibility & Remainder
"If a : b = 5 : 8 and c : b = 4 : 3, then a : b : c is equal to:",15:24:32,15:24:28,05:06:08,05:08:06,2019,M,11th June Shift 3,A,Arithmetic,Ratio & Proportion
"In $$\triangle$$ABC,P is a point on BC such that BP : PC = 1 : 2 and Q is the mid point of BP. Then, ar($$\triangle$$ABQ): ar($$\triangle$$ABC) is equal to:",01:06,01:04,01:05,01:03,2019,E,11th June Shift 3,A,Geometry,Congruence and Similarity of Triangles
The difference between the compound interest and simple interest on ₹x at 12% per annum for 2 years is ₹18. What is the value of x?,"1,250","1,280","1,340","1,300",2019,E,11th June Shift 3,A,Arithmetic,SI & CI
"A is 50% more efficient than B and C is 40% less efficient than B. Working together, they can complete a task in 10 days. In how many days will A alone complete 150% of that task?",31,33,28,35,2019,E,11th June Shift 3,A,Arithmetic,Time & Work
"If $$\sqrt x + \frac{1}{\sqrt x} = \sqrt7,  then  x^3 + \frac{1}{x^3}$$ is equal to:",110,130,120,140,2019,E,11th June Shift 3,A,Algebra,Identities
"Train without stoppage travels with an average speed of 80 km/h and with stoppage,it travels with an average speed of 72 km/h. For how many minutes does the train stop on an average per hour?",6,8,9,7,2019,H,11th June Shift 3,A,Arithmetic,Problem on Trains
"This table shows the number of students studying in various streams in different colleges.
https://cracku.in/media/uploads/Screenshot_29_4c2ffg4.png
What is the average of the number of students in the arts stream in all the colleges taken together?",440,460,450,470,2019,H,11th June Shift 3,A,Data Interpretation,Tables
"This table shows the number of students studying in various streams in different colleges.                                                                                                                  https://cracku.in/media/uploads/Screenshot_29_1CWBSUx.png                                                                                                                                                                             If the data about students of the commerce stream in all colleges is represented by a pie-chart, what is the central angle of the sector representing college D, to the nearest degree?",$$85^\circ$$,$$88^\circ$$,$$80^\circ$$,$$82^\circ$$,2019,H,11th June Shift 3,A,Data Interpretation,Tables
"$$\triangle$$ABC $$\sim$$ $$\triangle$$PRQ and PQ = 4 cm, QR = 7 cm and PR = 8 cm. If ar($$\triangle$$ABC) : ar($$\triangle$$PQR) = 1 : 4, then AC is equal to:",2 cm,3.7 cm,4 cm,1 cm,2019,M,11th June Shift 2,A,Geometry,Congruence and Similarity of Triangles
"In $$\triangle$$ABC, AD is a median and is a point on AD such that AP : PD = 3 : 4. Then ar($$\triangle$$BPD) : ar($$\triangle$$ABC)is equal to:",02:07,04:07,02:05,01:03,2019,E,11th June Shift 2,A,Geometry,Congruence and Similarity of Triangles
"A train without stoppage travels with an average speed of 72 km/h and with stoppage,it travels with an average speed of 60 km/h. For how many minutes does the train stop on an average per hour?",10,6,12,8,2019,H,11th June Shift 2,A,Arithmetic,Problem on Trains
"In a class of 40 students, 45% are girls and the remaining are boys.If the average of the girls’ marks is 54 and that of the boys is 46, what is the average of the whole class?",49.6,49.7,49.8,49.5,2019,E,11th June Shift 2,A,Arithmetic,Average
"If (a+b) = 6 and ab = $$\frac{16}{3}$$, then $$(a^3 + b^3)$$ is equal to:  ",120,190,220,150,2019,E,11th June Shift 2,A,Algebra,Identities
"The table below indicates the percentage of students and the ratio of boys and girls in the various streams of a college. (Total students = 2600)                 https://cracku.in/media/uploads/Screenshot_26_aAlrQxs.png                                                                                                                                                                            If the data about the number of girls enrolled in the various streams is represented by a pie-chart, what is the central angle of the sector representing the number of girls in the ME stream, to the nearest whole degree?",$$72^\circ$$,$$70^\circ$$,$$74^\circ$$,$$68^\circ$$,2019,M,11th June Shift 2,A,Data Interpretation,Tables
The value of: $$7.2 + (8.4 \div 0.12 \times 0.2) - 5 \times 180 \div 3 + 3$$,-275.8,-75.8,21.2,-175.8,2019,E,11th June Shift 2,A,Arithmetic,Simplification
"If $$\sin \theta = \cos(50^\circ + \theta)$$, then $$\theta$$ is equal to:",$$20^\circ$$,$$35^\circ$$,$$25^\circ$$,$$30^\circ$$,2019,E,11th June Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
The table below indicates the percentage of students and the ratio of boys and girls in the various streams of a college. (Total students = 2600)               https://cracku.in/media/uploads/Screenshot_26_PQGcrVH.png                                                                                                                                                                       What is the ratio of boys and girls in the college?,01:01,06:07,05:06,07:08,2019,M,11th June Shift 2,A,Data Interpretation,Tables
"Chords AB and CD of a circle, when produced, meet at a point P out side the circle. If AB = 6 cm, CD = 3 cm and PD = 5 cm, then PB is equal to:",2.744 cm,6.25 cm,5 cm,6 cm,2019,M,11th June Shift 1,A,Geometry,"Circles,Chords & Tangents"
The following table indicates the number of students studying in three disciplines in five colleges:                                                                                                     https://cracku.in/media/uploads/Screenshot_23_AO9eWDY.png                                                                                                                                                                     What is the ratio of the total number of students studying in the science stream to that of studying in commerce stream in all five colleges taken together?,16:15,19:15,16:19,14:15,2019,M,11th June Shift 1,A,Data Interpretation,Tables
"In $$\triangle$$ABC, AD is a median and P is a point on AD such that AP : PD =3 : 4. Then ar($$\triangle$$APB) : ar($$\triangle$$ABC) is equal to:",03:14,03:07,03:04,02:07,2019,E,11th June Shift 1,A,Geometry,Congruence and Similarity of Triangles
"In a circle with centre O, AB is the diameter and CD is a chord such that ABCD is a trapezium. If $$\angle$$BAC = $$25^\circ$$, then $$\angle$$CAD is equal to:",$$40^\circ$$,$$25^\circ$$,$$65^\circ$$,$$45^\circ$$,2019,M,11th June Shift 1,A,Geometry,"Circles,Chords & Tangents"
"If $$\cot \theta = \frac{3}{4},  then  \sin \theta + \cos \theta - \tan \theta$$ is equal to:",$$\frac{1}{15}$$,$$-\frac{1}{20}$$,$$\frac{1}{20}$$,$$\frac{2}{15}$$,2019,E,11th June Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
"If a + b = 5 and ab = 3, then $$(a^3 + b^3)$$ is equal to:",80,70,75,65,2019,M,11th June Shift 1,A,Algebra,Identities
"The following table indicates the number of students studying in three disciplines in five colleges:                                                                                                        https://cracku.in/media/uploads/Screenshot_23_eHZZJYH.png                                                                                                                                                                           If a pie-chart is drawn representing the number of students in all five colleges, what is the central angle (correct to the nearest whole number) of the sector representing the students of college B?",$$86^\circ$$,$$82^\circ$$,$$80^\circ$$,$$84^\circ$$,2019,M,11th June Shift 1,A,Data Interpretation,Tables
"A train without stop page travels with an average speed of 70km/h, and with stoppage,it travels with the average speed of 56km/h. How many minutes, does the train stop on an average per hour?",12,14,16,15,2019,H,10th June Shift 3,A,Arithmetic,Problem on Trains
The difference between the compound interest and simple interest on ₹ x at 9% per annum for 2 years is ₹20.25. What is the value of x ?,"2,500","2,400","2,800","2,200",2019,M,10th June Shift 3,A,Arithmetic,SI & CI
"when $$2 \sin^2 \theta = 3 \cos \theta,  and  0 \leq \theta \leq 90^\circ,  then  \theta = ? $$",$$60^\circ$$,$$90^\circ$$,$$30^\circ$$,$$45^\circ$$,2019,E,10th June Shift 3,A,Trigonometry,Trigonometric Ratios and Identities
"$$\triangle$$ABC $$\sim$$ $$\triangle$$EDF and AB = 5 cm, BC = 8 cm and AC = 10 cm.If ar($$\triangle$$ABC) : ar($$\triangle$$DEF) = 9 : 4, then DFis equalto:",$$\frac{16}{3}$$ cm,$$\frac{20}{3}$$ cm,$$\frac{32}{9}$$ cm,$$\frac{10}{3}$$ cm,2019,E,10th June Shift 3,A,Geometry,Congruence and Similarity of Triangles
"In a $$\triangle$$ABC,the sides are AB = 16 cm, AC = 63 cm, BC = 65 cm. From A, a straight line AM is drawn up to the midpoint M of side BC. Then the length of AM is equal to:",32.5 cm,24.5 cm,23.5 cm,31.5 cm,2019,E,10th June Shift 3,A,Mensuration,Plane Figures
The table below shows the number of students enrolled in five colleges over the five years (2010 to 2014).                                                                                    https://cracku.in/media/uploads/Screenshot_17_fWdAkUY.png                                                                                                                                                                         What is the average number of students studying in college D over the given years?,450,420,430,440,2019,E,10th June Shift 2,A,Data Interpretation,Tables
"A train without stoppage travels with an average speed of 50 km/h, and with stoppage, it travels with an average speed of 40 km/h. For how many minutes does the train stop on an average per hour?",12,13,14,15,2019,H,10th June Shift 2,A,Arithmetic,Problem on Trains
"If $$\tan \theta = \frac{2}{3},  then  \frac{3 \sin \theta - 4 \cos \theta}{3 \sin \theta + 4 \cos \theta}$$ is equal to:",$$-\frac{1}{3}$$,$$\frac{2}{3}$$,$$-\frac{2}{3}$$,$$\frac{1}{3}$$,2019,E,10th June Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
"The table below shows the number of students enrolled in five colleges over the five years (2010 to 2014).
https://cracku.in/media/uploads/Screenshot_17_VE0y3Xs.png
In the year 2014, what percent of students were enrolled in college C (correct to one decimal place)?",16.90%,17.30%,16.70%,17.10%,2019,M,10th June Shift 2,A,Data Interpretation,Tables
"The table below shows the number of students enrolled in five colleges over the five years (2010 to 2014).
https://cracku.in/media/uploads/Screenshot_17_0oBliey.png
What is the ratio of the total students enrolled in colleges A and B in the year 2012 to the total students enrolled in colleges D and E in the year 2013?",62 : 85    ,62 : 88,63 : 86,58 : 63,2019,M,10th June Shift 2,A,Data Interpretation,Tables
The price of sugar is increased by 20%. A person wants to increase his expenditure by 8% only. By what percent should he decrease his consumption?,10%,11%,9%,12%,2019,E,10th June Shift 2,A,Arithmetic,Percentage
The value of $$4.5 - (3.2 \div 0.8 \times 5) + 3 \times 4 \div 6$$ is:,-13.5,4.2,-8.5,5.7,2019,E,10th June Shift 2,A,Arithmetic,Simplification
"From a point P outside a circle, PAB is a secant and PT is a tangent to the circle, where, A, B and T are points on the circle. If PT = 5 cm, PA = 4 cm and AB = x cm,then x is equal to:",2.25 cm,2.75 cm,2.45 cm,1.75 cm,2019,M,10th June Shift 2,A,Geometry,"Circles,Chords & Tangents"
"The table shows the production of different types of cars (in thousands).
https://cracku.in/media/uploads/Screenshot_14_I5RAkNl.png
The average production of type A cars during the five years is what percent of the total production of type C cars during the five years?",22.4,20.6,21.8,18.7,2019,H,10th June Shift 1,A,Data Interpretation,Tables
"The average of twelve numbers is 55.5. The average of the first four numbers is 53.4 and that of the next four numbers is 54.6. The $$10^{th}$$ number is greater than the $$9^{th}$$ number by 3 but lesser than the $$11^{th}$$ and $$12^{th}$$ numbers by 2 and 3, respectively. What is the average of the $$10^{th}$$ and the $$12^{th}$$ numbers ?",59.5,58,57.5,56,2019,E,10th June Shift 1,A,Arithmetic,Average
"The income of A is 40% morethan that of B. If A got a 25% rise in his income and B got a 40% rise in his income, then the percentage increase in the combined incomes of A and B is:",31.25,34.5,28.25,24.5,2019,E,10th June Shift 1,A,Arithmetic,Percentage
"Let O be the centre of a circle and AC be its diameter. BD is a chord intersecting AC at E. Point A is joined to B and D. If $$\angle$$BOC = $$50^\circ$$ and $$\angle$$AOD = $$110^\circ$$, then $$\angle$$BEC = ?",$$80^\circ$$,$$70^\circ$$,$$55^\circ$$,$$90^\circ$$,2019,E,10th June Shift 1,A,Geometry,"Circles,Chords & Tangents"
"If $$a^2 + b^2 + c^2 + 27 = 6( a + b + c)$$, then what is the value of $$\sqrt[3]{a^3 + b^3 - c^3}$$",3,1,9,6,2019,E,10th June Shift 1,A,Algebra,Identities
If $$x + \frac{1}{x} = \sqrt5$$. then $$x^3 + \frac{1}{x^3}$$ is equal to:,$$5\sqrt5$$,$$2\sqrt5$$,$$3\sqrt5$$,$$4\sqrt5$$,2019,M,10th June Shift 3,B,Algebra,Identities
"The price of sugar is increased by 18%. A person wants to increase the expenditure by 12% only. By what percent, correct to one decimalplace, should he decrease his consumption?",5.60%,5.10%,6%,5.30%,2019,E,10th June Shift 3,B,Arithmetic,Percentage
"If a + b + c = 11 and ab + bc + ca = 38, then $$a^3 + b^3 + c^3 - 3abc$$ is equal to:",66,77,44,55,2019,E,10th June Shift 3,B,Algebra,Identities
"The average marks of 50 students in a class was found to be 64. If the marks of two students were incorrectly entered as 38 and 42 instead of 83 and 24, respectively, then what is the correct average?",61.24,64.54,62.32,61.86,2019,E,10th June Shift 3,B,Arithmetic,Average
"Two articles are sold for ₹10,384 each. On one,the seller gains 18% and onthe other, he loses 12%. What is his overall gain or loss?",₹168 loss,₹168 gain,₹178 gain,₹178 loss,2019,H,10th June Shift 3,B,Arithmetic,Profit & Loss
The value of $$\sin^2 60^\circ - \cos^2 45^\circ + \sec 60^\circ + \cos^2 40^\circ + \cos^2 50^\circ$$ is equal to:,$$\frac{9}{14}$$,$$\frac{13}{4}$$,$$\frac{11}{4}$$,$$\frac{7}{2}$$,2019,M,10th June Shift 3,B,Trigonometry,Trigonometric Ratios and Identities
"The table below shows the percentage of students and the ratio of boys and girls in different colleges. Total students = 1800                                                               https://cracku.in/media/uploads/Screenshot_19_9TuoqxF.png                                                                                                                                                                            If 10% of the girls from college A are transferred to college E, then what is the increase in the percentage of girls in college E?",4.60%,4%,4.20%,4.40%,2019,M,10th June Shift 3,B,Data Interpretation,Tables
"Two chords AB and CD of lengths 5 cm and 11 cm respectively are parallel and are on the sameside of the centre O of a circle. If the distance between the chords is 3 cm, then what is the diameter of the circle?",$$\sqrt{146}$$ cm,$$\sqrt{142}$$ cm,37 cm,38 cm,2019,E,7th June Shift 3,A,Geometry,"Circles,Chords & Tangents"
$$\left(\frac{2\tan30^{\circ}}{1-\tan^230^{\circ}}\right)$$ = ,$$\sqrt3$$,$$\frac{1}{\sqrt3}$$,$$\frac{1}{3}$$,3,2019,E,7th June Shift 3,A,Trigonometry,Trigonometric Ratios and Identities
"What is the compound interest on a sum of ₹8,100 for $$1\frac{1}{4}$$ years at 8% per annum,if the interest is compounded 5-monthly? (Nearest to ₹1)",₹837,₹873,₹824,₹842,2019,M,7th June Shift 3,A,Arithmetic,SI & CI
"A cylindrical road roller made of metal is one meter long. Its inner radius is 27 cm and the thickness of the metal sheet rolled into it is 9 cm. What is the weight of the roller, if 1 cm$$^3$$ of the metal weighs 8 g ?",453.6 $$\pi$$ kg,449 $$\pi$$ kg,441 $$\pi$$ kg,442.4 $$\pi$$ kg,2019,E,7th June Shift 3,A,Mensuration,Solid Figures
"A person sells an article at a profit of 12%. If he had purchased it for 12% less and sold it for ₹9 less, he would have gained 27%. What is the original cost price of the article?","₹3,750","₹4,500","₹4,250","₹4,000",2019,E,7th June Shift 3,A,Arithmetic,Profit & Loss
"The table shows the production of different types of cars (in thousands).                                                                                                                                                  https://cracku.in/media/uploads/Screenshot_43_vS7ETcD.png                                                                                                                                                                      What is the ratio of the total production of type A cars in 2017 and type C cars in 2014 taken together to the total production of type B cars in 2014, type C cars in 2017 and type E cars in 2018 taken together?",03:04,02:03,12:11,05:06,2019,H,7th June Shift 3,A,Data Interpretation,Tables
The base and altitude of an isosceles triangle are 10 cm and 12 cm respectively. Then the length of each equal side is:,13 cm,7.5 cm,10 cm,8.5 cm,2019,E,7th June Shift 3,A,Geometry,Congruence and Similarity of Triangles
"A sum of ₹x is divided among A, B and C such that the ratio of shares of A and B is 7 : 12 and that of B and C is 8: S. If the difference in the shares of A and C is ₹214, then the value of x is:","11,342","11,128","11,556","11,770",2019,H,7th June Shift 3,A,Arithmetic,Ratio & Proportion
"In $$\triangle$$ABC, $$\angle$$A is a right angle. The lengths of AC and BC are 6 cm and 10 cm respectively. Point D is on AB such that BD = 4 cm. What is the length of CD?",$$2\sqrt{13}$$ cm,$$3\sqrt{10}$$ cm,$$2\sqrt{10}$$ cm,$$3\sqrt{13}$$ cm,2019,M,7th June Shift 2,A,Mensuration,Plane Figures
"ABCD is a quadrilateral whose side AB is the diameter of a circle through A, B, C and D. If $$\angle$$ADC = $$130^\circ$$, then the measure of $$\angle$$BAC is:",$$40^\circ$$,$$45^\circ$$,$$35^\circ$$,$$50^\circ$$,2019,M,7th June Shift 2,A,Geometry,Quadrilaterals
"In $$\triangle$$ABC, AD bisects $$\angle$$A which meets BC at D. If BC = a, AC = b and AB = c, then DC = _______.",$$\frac{ab}{b + c}$$,$$\frac{ac}{a + c}$$,$$\frac{bc}{a + c}$$,$$\frac{ac}{a + b}$$,2019,E,7th June Shift 2,A,Mensuration,Plane Figures
"If $$\sin \theta = \frac{a}{\sqrt{a^2 + b^2}}, 0^\circ < \theta < 90^\circ$$, then the value of $$\sec \theta + \tan \theta$$",$$\frac{\sqrt{a^2 + b^2} + a}{b}$$,$$\frac{\sqrt{a^2 + b^2} + b}{2a}$$,$$\frac{\sqrt{a^2 + b^2} + a}{2b}$$,$$\frac{\sqrt{a^2 + b^2} + b}{a}$$,2019,E,7th June Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
A person can row a distance of 4 km upstream in one hour 20 minutes and can row back to the starting point in just 24 minutes. How much time(in hours) will he take to row 13 km in still water?,2,$$3\frac{1}{2}$$,3,$$2\frac{1}{2}$$,2019,E,7th June Shift 2,A,Arithmetic,Boats & Streams
"The table shows the production of different types of cars (in thousands).
https://cracku.in/media/uploads/Screenshot_20_zzFnYhc.png
The average production of all type of cars in 2014 is approximately what percent less than the total production of type B cars in 2013 and type D cars in 2010 taken together?",41.80%,44.90%,43.20%,44.40%,2019,H,7th June Shift 2,A,Data Interpretation,Tables
"If $$\cos^2 \theta  - 3 \cos \theta + 2 = \sin^2 \theta, 0^\circ < \theta < 90^\circ$$, then the value of $$2 cosec \theta + 4 \cot \theta$$ is:",$$\frac{8\sqrt3}{3}$$,$$\frac{4\sqrt3}{4}$$,$$2\sqrt{3}$$,$$4\sqrt{3}$$,2019,E,7th June Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
"If $$\left(\frac{\tan \theta - \sec \theta + 1}{\tan \theta + \sec \theta - 1}\right) \sec \theta = \frac{1}{k}$$, then k = ",$$1 + \sin \theta$$,$$1 - \cos \theta$$,$$1 + \cos \theta$$,$$1 - \sin \theta$$,2019,M,7th June Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
"The total number of students in section A and B of a class is 110. The number of students in section A is 10 more than that of section B. The average score of the students in B,in a test, is 20% more than that of students in A. If the average score of all the students in the class is 72, then what is the average score of the students in A ?",66,68,63,70,2019,E,7th June Shift 2,A,Arithmetic,Average
"A shopkeeper sells an item for ₹492 after allowing 18% discount on its marked price. Had he NOT allowed any discount, he would have earned a profit of 20% on the cost price. What is the cost price of the item ?",₹500,₹640,₹540,₹600,2019,E,7th June Shift 2,A,Arithmetic,Discount
"A dealer buys an article at a discount of 20% on its list price and marks it at 25% above the list price. If he allows a 20% discount on the new list price, then his profit percent is:",25,20,24,27,2019,E,7th June Shift 1,A,Arithmetic,Discount
"The ratio of the present ages of A and is 8 : 15. Eight years ago,the ratio of their ages was 6 : 13. What will be the ratio of ages of A and B after 8 years from now?",10:17,05:08,05:09,09:14,2019,E,7th June Shift 1,A,Arithmetic,Age
"If x = 2 - p, then $$x^3 + 6xp + p^3$$ is equal to:",8,12,4,6,2019,E,7th June Shift 1,A,Algebra,Identities
"A is 20% less than B and C is 30% more than D. If D is 25% less than A, then which of the following is true?",C=0.78B,B=0.39C,B=0.78C,C=0.39B,2019,M,7th June Shift 1,A,Arithmetic,Percentage
The table shows the production of different types of cars (in thousands).                                                                                                                                               https://cracku.in/media/uploads/Screenshot_13_pGUJQYT.png                                                                                                                                                                          The total production of type E cars in 2015 and type C cars in 2013 taken together is what percent of the total production of type A cars and type D cars taken together during 2012 to 2016?,20%,22%,21.40%,21.80%,2019,H,7th June Shift 1,A,Data Interpretation,Tables
The value of $$\frac{8}{9}  of  \left(5\frac{1}{4} \div 2\frac{1}{3}  of  4\right) \div \left(8 \div \frac{2}{3}  of  \frac{4}{5}\right)  of  \left(8 \times \frac{2}{3} \div \frac{4}{5}\right)$$ is:,$$\frac{1}{200}$$,$$1\frac{1}{8}$$,$$\frac{4}{15}$$,$$\frac{1}{100}$$,2019,E,7th June Shift 1,A,Algebra,Identities
"The ratio of the efficiencies of A, B and C is 7: 5 : 8. Working together, they can complete a piece of work in 42 days. B and C worked together for 21 days and the remaining work was completed by A alone. The whole work was completed in:",102 days,93 days,99 days,96 days,2019,E,7th June Shift 1,A,Arithmetic,Time & Work
The radii of three concentric circles are in the ratio of 4 : 5 : 7. What is the ratio of the area between the two inner circles to that between the two outer circles?,03:08,04:07,05:09,04:05,2019,E,6th June Shift 3,A,Geometry,"Circles,Chords & Tangents"
"In a circle with center O and radius 10 cm, PQ and RS are two parallel chords of lengths x cm and 12 cm, respectively, and both the chords are on the opposite side of O. If the distance between PQ and RS is 14 cm,the value of x is:",16,15,20,18,2019,M,6th June Shift 3,A,Geometry,"Circles,Chords & Tangents"
"A train travelling at 44 km/h crosses a man walking with a speed of 8 km/h,in the same direction, in 15 seconds. If the train crosses a woman coming from the opposite direction in 10 seconds, then what is the speed (in km/h) of the woman?",10,9,8.5,10.5,2019,M,6th June Shift 3,A,Arithmetic,Problem on Trains
"The table shows the production of different types of cars (in thousands).                                                                                                                                                     https://cracku.in/media/uploads/Screenshot_12_Sdokfnp.png                                                                                                                                                                           If the data related to the production of type D cars is represented by a pie-chart, then the central angle of the sector representing the production of the cars in 2016 will be:",$$78^\circ$$,$$72^\circ$$,$$79.2^\circ$$,$$67.2^\circ$$,2019,H,6th June Shift 3,A,Data Interpretation,Tables
The value of $$16 \div 4  of  4 \times [3 \div 4  of  \left\{4 \times 3 \div (3 + 3)\right\}] \div (2 \div 4  of  8)$$ is:,6,48,9,16,2019,E,6th June Shift 3,A,Arithmetic,Simplification
